,Date,Country/Region,Lat,Long,Cases,Country,nuevos_infectados,tasa_contagio
0,2020-01-22,Afghanistan,33.0,65.0,0,Afghanistan,,
152,2020-01-23,Afghanistan,33.0,65.0,0,Afghanistan,0.0,
304,2020-01-24,Afghanistan,33.0,65.0,0,Afghanistan,-2.0,-1.0
456,2020-01-25,Afghanistan,33.0,65.0,0,Afghanistan,-2.0,-1.0
608,2020-01-26,Afghanistan,33.0,65.0,0,Afghanistan,-2.0,-1.0
760,2020-01-27,Afghanistan,33.0,65.0,0,Afghanistan,-2.0,-1.0
912,2020-01-28,Afghanistan,33.0,65.0,0,Afghanistan,-2.0,-1.0
1064,2020-01-29,Afghanistan,33.0,65.0,0,Afghanistan,-2.0,-1.0
1216,2020-01-30,Afghanistan,33.0,65.0,0,Afghanistan,-2.0,-1.0
1368,2020-01-31,Afghanistan,33.0,65.0,0,Afghanistan,-2.0,-1.0
1520,2020-02-01,Afghanistan,33.0,65.0,0,Afghanistan,-2.0,-1.0
3192,2020-02-02,Afghanistan,33.0,65.0,0,Afghanistan,-16.0,-1.0
4864,2020-02-03,Afghanistan,33.0,65.0,0,Afghanistan,-16.0,-1.0
5016,2020-02-04,Afghanistan,33.0,65.0,0,Afghanistan,-8.0,-1.0
5168,2020-02-05,Afghanistan,33.0,65.0,0,Afghanistan,-8.0,-1.0
5320,2020-02-06,Afghanistan,33.0,65.0,0,Afghanistan,-8.0,-1.0
5472,2020-02-07,Afghanistan,33.0,65.0,0,Afghanistan,-10.0,-1.0
5624,2020-02-08,Afghanistan,33.0,65.0,0,Afghanistan,-10.0,-1.0
5776,2020-02-09,Afghanistan,33.0,65.0,0,Afghanistan,-13.0,-1.0
1672,2020-02-10,Afghanistan,33.0,65.0,0,Afghanistan,-6.0,-1.0
1824,2020-02-11,Afghanistan,33.0,65.0,0,Afghanistan,-14.0,-1.0
1976,2020-02-12,Afghanistan,33.0,65.0,0,Afghanistan,-15.0,-1.0
2128,2020-02-13,Afghanistan,33.0,65.0,0,Afghanistan,-15.0,-1.0
2280,2020-02-14,Afghanistan,33.0,65.0,0,Afghanistan,-16.0,-1.0
2432,2020-02-15,Afghanistan,33.0,65.0,0,Afghanistan,-16.0,-1.0
2584,2020-02-16,Afghanistan,33.0,65.0,0,Afghanistan,-16.0,-1.0
2736,2020-02-17,Afghanistan,33.0,65.0,0,Afghanistan,-16.0,-1.0
2888,2020-02-18,Afghanistan,33.0,65.0,0,Afghanistan,-16.0,-1.0
3040,2020-02-19,Afghanistan,33.0,65.0,0,Afghanistan,-16.0,-1.0
3344,2020-02-20,Afghanistan,33.0,65.0,0,Afghanistan,-6.0,-1.0
3496,2020-02-21,Afghanistan,33.0,65.0,0,Afghanistan,-16.0,-1.0
3648,2020-02-22,Afghanistan,33.0,65.0,0,Afghanistan,-16.0,-1.0
3800,2020-02-23,Afghanistan,33.0,65.0,0,Afghanistan,-16.0,-1.0
3952,2020-02-24,Afghanistan,33.0,65.0,1,Afghanistan,-15.0,-0.9375
4104,2020-02-25,Afghanistan,33.0,65.0,1,Afghanistan,-15.0,-0.9375
4256,2020-02-26,Afghanistan,33.0,65.0,1,Afghanistan,-15.0,-0.9375
4408,2020-02-27,Afghanistan,33.0,65.0,1,Afghanistan,-15.0,-0.9375
4560,2020-02-28,Afghanistan,33.0,65.0,1,Afghanistan,-15.0,-0.9375
4712,2020-02-29,Afghanistan,33.0,65.0,1,Afghanistan,-15.0,-0.9375
5928,2020-03-01,Afghanistan,33.0,65.0,1,Afghanistan,-12.0,-0.9230769230769231
7296,2020-03-02,Afghanistan,33.0,65.0,1,Afghanistan,-65.0,-0.9848484848484849
7448,2020-03-03,Afghanistan,33.0,65.0,1,Afghanistan,-15.0,-0.9375
7600,2020-03-04,Afghanistan,33.0,65.0,1,Afghanistan,-15.0,-0.9375
7752,2020-03-05,Afghanistan,33.0,65.0,1,Afghanistan,-15.0,-0.9375
7904,2020-03-06,Afghanistan,33.0,65.0,1,Afghanistan,-15.0,-0.9375
8056,2020-03-07,Afghanistan,33.0,65.0,1,Afghanistan,-15.0,-0.9375
8208,2020-03-08,Afghanistan,33.0,65.0,4,Afghanistan,-14.0,-0.7777777777777778
8360,2020-03-09,Afghanistan,33.0,65.0,4,Afghanistan,-26.0,-0.8666666666666667
6080,2020-03-10,Afghanistan,33.0,65.0,5,Afghanistan,-11.0,-0.6875
6232,2020-03-11,Afghanistan,33.0,65.0,7,Afghanistan,-24.0,-0.7741935483870968
6384,2020-03-12,Afghanistan,33.0,65.0,7,Afghanistan,-31.0,-0.8157894736842105
6536,2020-03-13,Afghanistan,33.0,65.0,7,Afghanistan,-32.0,-0.8205128205128205
6688,2020-03-14,Afghanistan,33.0,65.0,11,Afghanistan,-36.0,-0.7659574468085106
6840,2020-03-15,Afghanistan,33.0,65.0,16,Afghanistan,-37.0,-0.6981132075471698
6992,2020-03-16,Afghanistan,33.0,65.0,21,Afghanistan,-35.0,-0.625
7144,2020-03-17,Afghanistan,33.0,65.0,22,Afghanistan,-39.0,-0.639344262295082
1,2020-01-22,Albania,41.1533,20.1683,0,Albania,0.0,
153,2020-01-23,Albania,41.1533,20.1683,0,Albania,0.0,
305,2020-01-24,Albania,41.1533,20.1683,0,Albania,0.0,
457,2020-01-25,Albania,41.1533,20.1683,0,Albania,0.0,
609,2020-01-26,Albania,41.1533,20.1683,0,Albania,0.0,
761,2020-01-27,Albania,41.1533,20.1683,0,Albania,0.0,
913,2020-01-28,Albania,41.1533,20.1683,0,Albania,0.0,
1065,2020-01-29,Albania,41.1533,20.1683,0,Albania,0.0,
1217,2020-01-30,Albania,41.1533,20.1683,0,Albania,0.0,
1369,2020-01-31,Albania,41.1533,20.1683,0,Albania,0.0,
1521,2020-02-01,Albania,41.1533,20.1683,0,Albania,0.0,
3193,2020-02-02,Albania,41.1533,20.1683,0,Albania,0.0,
4865,2020-02-03,Albania,41.1533,20.1683,0,Albania,0.0,
5017,2020-02-04,Albania,41.1533,20.1683,0,Albania,0.0,
5169,2020-02-05,Albania,41.1533,20.1683,0,Albania,0.0,
5321,2020-02-06,Albania,41.1533,20.1683,0,Albania,0.0,
5473,2020-02-07,Albania,41.1533,20.1683,0,Albania,0.0,
5625,2020-02-08,Albania,41.1533,20.1683,0,Albania,0.0,
5777,2020-02-09,Albania,41.1533,20.1683,0,Albania,0.0,
1673,2020-02-10,Albania,41.1533,20.1683,0,Albania,0.0,
1825,2020-02-11,Albania,41.1533,20.1683,0,Albania,0.0,
1977,2020-02-12,Albania,41.1533,20.1683,0,Albania,0.0,
2129,2020-02-13,Albania,41.1533,20.1683,0,Albania,0.0,
2281,2020-02-14,Albania,41.1533,20.1683,0,Albania,0.0,
2433,2020-02-15,Albania,41.1533,20.1683,0,Albania,0.0,
2585,2020-02-16,Albania,41.1533,20.1683,0,Albania,0.0,
2737,2020-02-17,Albania,41.1533,20.1683,0,Albania,0.0,
2889,2020-02-18,Albania,41.1533,20.1683,0,Albania,0.0,
3041,2020-02-19,Albania,41.1533,20.1683,0,Albania,0.0,
3345,2020-02-20,Albania,41.1533,20.1683,0,Albania,0.0,
3497,2020-02-21,Albania,41.1533,20.1683,0,Albania,0.0,
3649,2020-02-22,Albania,41.1533,20.1683,0,Albania,0.0,
3801,2020-02-23,Albania,41.1533,20.1683,0,Albania,0.0,
3953,2020-02-24,Albania,41.1533,20.1683,0,Albania,-1.0,-1.0
4105,2020-02-25,Albania,41.1533,20.1683,0,Albania,-1.0,-1.0
4257,2020-02-26,Albania,41.1533,20.1683,0,Albania,-1.0,-1.0
4409,2020-02-27,Albania,41.1533,20.1683,0,Albania,-1.0,-1.0
4561,2020-02-28,Albania,41.1533,20.1683,0,Albania,-1.0,-1.0
4713,2020-02-29,Albania,41.1533,20.1683,0,Albania,-1.0,-1.0
5929,2020-03-01,Albania,41.1533,20.1683,0,Albania,-1.0,-1.0
7297,2020-03-02,Albania,41.1533,20.1683,0,Albania,-1.0,-1.0
7449,2020-03-03,Albania,41.1533,20.1683,0,Albania,-1.0,-1.0
7601,2020-03-04,Albania,41.1533,20.1683,0,Albania,-1.0,-1.0
7753,2020-03-05,Albania,41.1533,20.1683,0,Albania,-1.0,-1.0
7905,2020-03-06,Albania,41.1533,20.1683,0,Albania,-1.0,-1.0
8057,2020-03-07,Albania,41.1533,20.1683,0,Albania,-1.0,-1.0
8209,2020-03-08,Albania,41.1533,20.1683,0,Albania,-4.0,-1.0
8361,2020-03-09,Albania,41.1533,20.1683,2,Albania,-2.0,-0.5
6081,2020-03-10,Albania,41.1533,20.1683,10,Albania,5.0,1.0
6233,2020-03-11,Albania,41.1533,20.1683,12,Albania,5.0,0.7142857142857143
6385,2020-03-12,Albania,41.1533,20.1683,23,Albania,16.0,2.2857142857142856
6537,2020-03-13,Albania,41.1533,20.1683,33,Albania,26.0,3.7142857142857144
6689,2020-03-14,Albania,41.1533,20.1683,38,Albania,27.0,2.4545454545454546
6841,2020-03-15,Albania,41.1533,20.1683,42,Albania,26.0,1.625
6993,2020-03-16,Albania,41.1533,20.1683,51,Albania,30.0,1.4285714285714286
7145,2020-03-17,Albania,41.1533,20.1683,55,Albania,33.0,1.5
2,2020-01-22,Algeria,28.0339,1.6596,0,Algeria,0.0,
154,2020-01-23,Algeria,28.0339,1.6596,0,Algeria,0.0,
306,2020-01-24,Algeria,28.0339,1.6596,0,Algeria,0.0,
458,2020-01-25,Algeria,28.0339,1.6596,0,Algeria,0.0,
610,2020-01-26,Algeria,28.0339,1.6596,0,Algeria,0.0,
762,2020-01-27,Algeria,28.0339,1.6596,0,Algeria,0.0,
914,2020-01-28,Algeria,28.0339,1.6596,0,Algeria,0.0,
1066,2020-01-29,Algeria,28.0339,1.6596,0,Algeria,0.0,
1218,2020-01-30,Algeria,28.0339,1.6596,0,Algeria,0.0,
1370,2020-01-31,Algeria,28.0339,1.6596,0,Algeria,0.0,
1522,2020-02-01,Algeria,28.0339,1.6596,0,Algeria,0.0,
3194,2020-02-02,Algeria,28.0339,1.6596,0,Algeria,0.0,
4866,2020-02-03,Algeria,28.0339,1.6596,0,Algeria,0.0,
5018,2020-02-04,Algeria,28.0339,1.6596,0,Algeria,0.0,
5170,2020-02-05,Algeria,28.0339,1.6596,0,Algeria,0.0,
5322,2020-02-06,Algeria,28.0339,1.6596,0,Algeria,0.0,
5474,2020-02-07,Algeria,28.0339,1.6596,0,Algeria,0.0,
5626,2020-02-08,Algeria,28.0339,1.6596,0,Algeria,0.0,
5778,2020-02-09,Algeria,28.0339,1.6596,0,Algeria,0.0,
1674,2020-02-10,Algeria,28.0339,1.6596,0,Algeria,0.0,
1826,2020-02-11,Algeria,28.0339,1.6596,0,Algeria,0.0,
1978,2020-02-12,Algeria,28.0339,1.6596,0,Algeria,0.0,
2130,2020-02-13,Algeria,28.0339,1.6596,0,Algeria,0.0,
2282,2020-02-14,Algeria,28.0339,1.6596,0,Algeria,0.0,
2434,2020-02-15,Algeria,28.0339,1.6596,0,Algeria,0.0,
2586,2020-02-16,Algeria,28.0339,1.6596,0,Algeria,0.0,
2738,2020-02-17,Algeria,28.0339,1.6596,0,Algeria,0.0,
2890,2020-02-18,Algeria,28.0339,1.6596,0,Algeria,0.0,
3042,2020-02-19,Algeria,28.0339,1.6596,0,Algeria,0.0,
3346,2020-02-20,Algeria,28.0339,1.6596,0,Algeria,0.0,
3498,2020-02-21,Algeria,28.0339,1.6596,0,Algeria,0.0,
3650,2020-02-22,Algeria,28.0339,1.6596,0,Algeria,0.0,
3802,2020-02-23,Algeria,28.0339,1.6596,0,Algeria,0.0,
3954,2020-02-24,Algeria,28.0339,1.6596,0,Algeria,0.0,
4106,2020-02-25,Algeria,28.0339,1.6596,1,Algeria,1.0,inf
4258,2020-02-26,Algeria,28.0339,1.6596,1,Algeria,1.0,inf
4410,2020-02-27,Algeria,28.0339,1.6596,1,Algeria,1.0,inf
4562,2020-02-28,Algeria,28.0339,1.6596,1,Algeria,1.0,inf
4714,2020-02-29,Algeria,28.0339,1.6596,1,Algeria,1.0,inf
5930,2020-03-01,Algeria,28.0339,1.6596,1,Algeria,1.0,inf
7298,2020-03-02,Algeria,28.0339,1.6596,3,Algeria,3.0,inf
7450,2020-03-03,Algeria,28.0339,1.6596,5,Algeria,5.0,inf
7602,2020-03-04,Algeria,28.0339,1.6596,12,Algeria,12.0,inf
7754,2020-03-05,Algeria,28.0339,1.6596,12,Algeria,12.0,inf
7906,2020-03-06,Algeria,28.0339,1.6596,17,Algeria,17.0,inf
8058,2020-03-07,Algeria,28.0339,1.6596,17,Algeria,17.0,inf
8210,2020-03-08,Algeria,28.0339,1.6596,19,Algeria,19.0,inf
8362,2020-03-09,Algeria,28.0339,1.6596,20,Algeria,18.0,9.0
6082,2020-03-10,Algeria,28.0339,1.6596,20,Algeria,10.0,1.0
6234,2020-03-11,Algeria,28.0339,1.6596,20,Algeria,8.0,0.6666666666666666
6386,2020-03-12,Algeria,28.0339,1.6596,24,Algeria,1.0,0.043478260869565216
6538,2020-03-13,Algeria,28.0339,1.6596,26,Algeria,-7.0,-0.21212121212121213
6690,2020-03-14,Algeria,28.0339,1.6596,37,Algeria,-1.0,-0.02631578947368421
6842,2020-03-15,Algeria,28.0339,1.6596,48,Algeria,6.0,0.14285714285714285
6994,2020-03-16,Algeria,28.0339,1.6596,54,Algeria,3.0,0.058823529411764705
7146,2020-03-17,Algeria,28.0339,1.6596,60,Algeria,5.0,0.09090909090909091
3,2020-01-22,Andorra,42.5063,1.5218,0,Andorra,0.0,
155,2020-01-23,Andorra,42.5063,1.5218,0,Andorra,0.0,
307,2020-01-24,Andorra,42.5063,1.5218,0,Andorra,0.0,
459,2020-01-25,Andorra,42.5063,1.5218,0,Andorra,0.0,
611,2020-01-26,Andorra,42.5063,1.5218,0,Andorra,0.0,
763,2020-01-27,Andorra,42.5063,1.5218,0,Andorra,0.0,
915,2020-01-28,Andorra,42.5063,1.5218,0,Andorra,0.0,
1067,2020-01-29,Andorra,42.5063,1.5218,0,Andorra,0.0,
1219,2020-01-30,Andorra,42.5063,1.5218,0,Andorra,0.0,
1371,2020-01-31,Andorra,42.5063,1.5218,0,Andorra,0.0,
1523,2020-02-01,Andorra,42.5063,1.5218,0,Andorra,0.0,
3195,2020-02-02,Andorra,42.5063,1.5218,0,Andorra,0.0,
4867,2020-02-03,Andorra,42.5063,1.5218,0,Andorra,0.0,
5019,2020-02-04,Andorra,42.5063,1.5218,0,Andorra,0.0,
5171,2020-02-05,Andorra,42.5063,1.5218,0,Andorra,0.0,
5323,2020-02-06,Andorra,42.5063,1.5218,0,Andorra,0.0,
5475,2020-02-07,Andorra,42.5063,1.5218,0,Andorra,0.0,
5627,2020-02-08,Andorra,42.5063,1.5218,0,Andorra,0.0,
5779,2020-02-09,Andorra,42.5063,1.5218,0,Andorra,0.0,
1675,2020-02-10,Andorra,42.5063,1.5218,0,Andorra,0.0,
1827,2020-02-11,Andorra,42.5063,1.5218,0,Andorra,0.0,
1979,2020-02-12,Andorra,42.5063,1.5218,0,Andorra,0.0,
2131,2020-02-13,Andorra,42.5063,1.5218,0,Andorra,0.0,
2283,2020-02-14,Andorra,42.5063,1.5218,0,Andorra,0.0,
2435,2020-02-15,Andorra,42.5063,1.5218,0,Andorra,0.0,
2587,2020-02-16,Andorra,42.5063,1.5218,0,Andorra,0.0,
2739,2020-02-17,Andorra,42.5063,1.5218,0,Andorra,0.0,
2891,2020-02-18,Andorra,42.5063,1.5218,0,Andorra,0.0,
3043,2020-02-19,Andorra,42.5063,1.5218,0,Andorra,0.0,
3347,2020-02-20,Andorra,42.5063,1.5218,0,Andorra,0.0,
3499,2020-02-21,Andorra,42.5063,1.5218,0,Andorra,0.0,
3651,2020-02-22,Andorra,42.5063,1.5218,0,Andorra,0.0,
3803,2020-02-23,Andorra,42.5063,1.5218,0,Andorra,0.0,
3955,2020-02-24,Andorra,42.5063,1.5218,0,Andorra,0.0,
4107,2020-02-25,Andorra,42.5063,1.5218,0,Andorra,-1.0,-1.0
4259,2020-02-26,Andorra,42.5063,1.5218,0,Andorra,-1.0,-1.0
4411,2020-02-27,Andorra,42.5063,1.5218,0,Andorra,-1.0,-1.0
4563,2020-02-28,Andorra,42.5063,1.5218,0,Andorra,-1.0,-1.0
4715,2020-02-29,Andorra,42.5063,1.5218,0,Andorra,-1.0,-1.0
5931,2020-03-01,Andorra,42.5063,1.5218,0,Andorra,-1.0,-1.0
7299,2020-03-02,Andorra,42.5063,1.5218,1,Andorra,-2.0,-0.6666666666666666
7451,2020-03-03,Andorra,42.5063,1.5218,1,Andorra,-4.0,-0.8
7603,2020-03-04,Andorra,42.5063,1.5218,1,Andorra,-11.0,-0.9166666666666666
7755,2020-03-05,Andorra,42.5063,1.5218,1,Andorra,-11.0,-0.9166666666666666
7907,2020-03-06,Andorra,42.5063,1.5218,1,Andorra,-16.0,-0.9411764705882353
8059,2020-03-07,Andorra,42.5063,1.5218,1,Andorra,-16.0,-0.9411764705882353
8211,2020-03-08,Andorra,42.5063,1.5218,1,Andorra,-18.0,-0.9473684210526315
8363,2020-03-09,Andorra,42.5063,1.5218,1,Andorra,-19.0,-0.95
6083,2020-03-10,Andorra,42.5063,1.5218,1,Andorra,-19.0,-0.95
6235,2020-03-11,Andorra,42.5063,1.5218,1,Andorra,-19.0,-0.95
6387,2020-03-12,Andorra,42.5063,1.5218,1,Andorra,-23.0,-0.9583333333333334
6539,2020-03-13,Andorra,42.5063,1.5218,1,Andorra,-25.0,-0.9615384615384616
6691,2020-03-14,Andorra,42.5063,1.5218,1,Andorra,-36.0,-0.972972972972973
6843,2020-03-15,Andorra,42.5063,1.5218,1,Andorra,-47.0,-0.9791666666666666
6995,2020-03-16,Andorra,42.5063,1.5218,2,Andorra,-52.0,-0.9629629629629629
7147,2020-03-17,Andorra,42.5063,1.5218,39,Andorra,-21.0,-0.35
4,2020-01-22,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,0.0,
156,2020-01-23,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,0.0,
308,2020-01-24,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,0.0,
460,2020-01-25,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,0.0,
612,2020-01-26,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,0.0,
764,2020-01-27,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,0.0,
916,2020-01-28,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,0.0,
1068,2020-01-29,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,0.0,
1220,2020-01-30,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,0.0,
1372,2020-01-31,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,0.0,
1524,2020-02-01,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,0.0,
3196,2020-02-02,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,0.0,
4868,2020-02-03,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,0.0,
5020,2020-02-04,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,0.0,
5172,2020-02-05,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,0.0,
5324,2020-02-06,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,0.0,
5476,2020-02-07,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,0.0,
5628,2020-02-08,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,0.0,
5780,2020-02-09,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,0.0,
1676,2020-02-10,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,0.0,
1828,2020-02-11,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,0.0,
1980,2020-02-12,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,0.0,
2132,2020-02-13,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,0.0,
2284,2020-02-14,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,0.0,
2436,2020-02-15,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,0.0,
2588,2020-02-16,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,0.0,
2740,2020-02-17,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,0.0,
2892,2020-02-18,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,0.0,
3044,2020-02-19,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,0.0,
3348,2020-02-20,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,0.0,
3500,2020-02-21,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,0.0,
3652,2020-02-22,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,0.0,
3804,2020-02-23,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,0.0,
3956,2020-02-24,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,0.0,
4108,2020-02-25,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,0.0,
4260,2020-02-26,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,0.0,
4412,2020-02-27,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,0.0,
4564,2020-02-28,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,0.0,
4716,2020-02-29,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,0.0,
5932,2020-03-01,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,0.0,
7300,2020-03-02,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,-1.0,-1.0
7452,2020-03-03,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,-1.0,-1.0
7604,2020-03-04,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,-1.0,-1.0
7756,2020-03-05,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,-1.0,-1.0
7908,2020-03-06,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,-1.0,-1.0
8060,2020-03-07,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,-1.0,-1.0
8212,2020-03-08,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,-1.0,-1.0
8364,2020-03-09,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,-1.0,-1.0
6084,2020-03-10,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,-1.0,-1.0
6236,2020-03-11,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,-1.0,-1.0
6388,2020-03-12,Antigua and Barbuda,17.0608,-61.7964,0,Antigua and Barbuda,-1.0,-1.0
6540,2020-03-13,Antigua and Barbuda,17.0608,-61.7964,1,Antigua and Barbuda,0.0,0.0
6692,2020-03-14,Antigua and Barbuda,17.0608,-61.7964,1,Antigua and Barbuda,0.0,0.0
6844,2020-03-15,Antigua and Barbuda,17.0608,-61.7964,1,Antigua and Barbuda,0.0,0.0
6996,2020-03-16,Antigua and Barbuda,17.0608,-61.7964,1,Antigua and Barbuda,-1.0,-0.5
7148,2020-03-17,Antigua and Barbuda,17.0608,-61.7964,1,Antigua and Barbuda,-38.0,-0.9743589743589743
5,2020-01-22,Argentina,-38.4161,-63.6167,0,Argentina,0.0,
157,2020-01-23,Argentina,-38.4161,-63.6167,0,Argentina,0.0,
309,2020-01-24,Argentina,-38.4161,-63.6167,0,Argentina,0.0,
461,2020-01-25,Argentina,-38.4161,-63.6167,0,Argentina,0.0,
613,2020-01-26,Argentina,-38.4161,-63.6167,0,Argentina,0.0,
765,2020-01-27,Argentina,-38.4161,-63.6167,0,Argentina,0.0,
917,2020-01-28,Argentina,-38.4161,-63.6167,0,Argentina,0.0,
1069,2020-01-29,Argentina,-38.4161,-63.6167,0,Argentina,0.0,
1221,2020-01-30,Argentina,-38.4161,-63.6167,0,Argentina,0.0,
1373,2020-01-31,Argentina,-38.4161,-63.6167,0,Argentina,0.0,
1525,2020-02-01,Argentina,-38.4161,-63.6167,0,Argentina,0.0,
3197,2020-02-02,Argentina,-38.4161,-63.6167,0,Argentina,0.0,
4869,2020-02-03,Argentina,-38.4161,-63.6167,0,Argentina,0.0,
5021,2020-02-04,Argentina,-38.4161,-63.6167,0,Argentina,0.0,
5173,2020-02-05,Argentina,-38.4161,-63.6167,0,Argentina,0.0,
5325,2020-02-06,Argentina,-38.4161,-63.6167,0,Argentina,0.0,
5477,2020-02-07,Argentina,-38.4161,-63.6167,0,Argentina,0.0,
5629,2020-02-08,Argentina,-38.4161,-63.6167,0,Argentina,0.0,
5781,2020-02-09,Argentina,-38.4161,-63.6167,0,Argentina,0.0,
1677,2020-02-10,Argentina,-38.4161,-63.6167,0,Argentina,0.0,
1829,2020-02-11,Argentina,-38.4161,-63.6167,0,Argentina,0.0,
1981,2020-02-12,Argentina,-38.4161,-63.6167,0,Argentina,0.0,
2133,2020-02-13,Argentina,-38.4161,-63.6167,0,Argentina,0.0,
2285,2020-02-14,Argentina,-38.4161,-63.6167,0,Argentina,0.0,
2437,2020-02-15,Argentina,-38.4161,-63.6167,0,Argentina,0.0,
2589,2020-02-16,Argentina,-38.4161,-63.6167,0,Argentina,0.0,
2741,2020-02-17,Argentina,-38.4161,-63.6167,0,Argentina,0.0,
2893,2020-02-18,Argentina,-38.4161,-63.6167,0,Argentina,0.0,
3045,2020-02-19,Argentina,-38.4161,-63.6167,0,Argentina,0.0,
3349,2020-02-20,Argentina,-38.4161,-63.6167,0,Argentina,0.0,
3501,2020-02-21,Argentina,-38.4161,-63.6167,0,Argentina,0.0,
3653,2020-02-22,Argentina,-38.4161,-63.6167,0,Argentina,0.0,
3805,2020-02-23,Argentina,-38.4161,-63.6167,0,Argentina,0.0,
3957,2020-02-24,Argentina,-38.4161,-63.6167,0,Argentina,0.0,
4109,2020-02-25,Argentina,-38.4161,-63.6167,0,Argentina,0.0,
4261,2020-02-26,Argentina,-38.4161,-63.6167,0,Argentina,0.0,
4413,2020-02-27,Argentina,-38.4161,-63.6167,0,Argentina,0.0,
4565,2020-02-28,Argentina,-38.4161,-63.6167,0,Argentina,0.0,
4717,2020-02-29,Argentina,-38.4161,-63.6167,0,Argentina,0.0,
5933,2020-03-01,Argentina,-38.4161,-63.6167,0,Argentina,0.0,
7301,2020-03-02,Argentina,-38.4161,-63.6167,0,Argentina,0.0,
7453,2020-03-03,Argentina,-38.4161,-63.6167,1,Argentina,1.0,inf
7605,2020-03-04,Argentina,-38.4161,-63.6167,1,Argentina,1.0,inf
7757,2020-03-05,Argentina,-38.4161,-63.6167,1,Argentina,1.0,inf
7909,2020-03-06,Argentina,-38.4161,-63.6167,2,Argentina,2.0,inf
8061,2020-03-07,Argentina,-38.4161,-63.6167,8,Argentina,8.0,inf
8213,2020-03-08,Argentina,-38.4161,-63.6167,12,Argentina,12.0,inf
8365,2020-03-09,Argentina,-38.4161,-63.6167,12,Argentina,12.0,inf
6085,2020-03-10,Argentina,-38.4161,-63.6167,17,Argentina,17.0,inf
6237,2020-03-11,Argentina,-38.4161,-63.6167,19,Argentina,19.0,inf
6389,2020-03-12,Argentina,-38.4161,-63.6167,19,Argentina,19.0,inf
6541,2020-03-13,Argentina,-38.4161,-63.6167,31,Argentina,30.0,30.0
6693,2020-03-14,Argentina,-38.4161,-63.6167,34,Argentina,33.0,33.0
